cursor_motion dense_cells light_cells medium_cells scrolling scrolling_bottom_region scrolling_bottom_small_region scrolling_fullscreen scrolling_top_region scrolling_top_small_region sync_medium_cells unicode 
33 _ 18 32 _ _ _ 27 _ _ 29 17 
32 _ 18 34 _ _ _ 23 _ _ 29 16 
34 _ 18 34 _ _ _ 23 _ _ 28 16 
32 _ 18 32 _ _ _ 24 _ _ 31 17 
34 _ 17 34 _ _ _ 21 _ _ 29 19 
33 _ 18 35 _ _ _ 23 _ _ 30 19 
35 _ 17 33 _ _ _ 30 _ _ 28 16 
36 _ 18 32 _ _ _ 28 _ _ 28 16 
33 _ 18 30 _ _ _ 25 _ _ 30 16 
33 _ 18 25 _ _ _ 25 _ _ 29 16 
32 _ 18 31 _ _ _ 26 _ _ 30 16 
32 _ 18 30 _ _ _ 30 _ _ 29 17 
32 _ 22 27 _ _ _ 27 _ _ 28 16 
32 _ 18 27 _ _ _ 26 _ _ 29 16 
33 _ 18 27 _ _ _ 28 _ _ 28 20 
33 _ 18 27 _ _ _ 25 _ _ 29 16 
35 _ 19 27 _ _ _ 27 _ _ 29 17 
34 _ 21 29 _ _ _ 26 _ _ 29 16 
34 _ 21 28 _ _ _ 26 _ _ 29 20 
_ _ 20 28 _ _ _ 24 _ _ 29 20 
_ _ 20 28 _ _ _ 25 _ _ 29 18 
_ _ 22 28 _ _ _ 25 _ _ 29 18 
_ _ 22 29 _ _ _ 27 _ _ 30 17 
_ _ 23 28 _ _ _ 26 _ _ 30 16 
_ _ 19 29 _ _ _ 26 _ _ 30 19 
_ _ 16 29 _ _ _ 26 _ _ 31 18 
_ _ 17 28 _ _ _ 26 _ _ 34 20 
_ _ 17 28 _ _ _ 24 _ _ 31 19 
_ _ 18 29 _ _ _ 22 _ _ 31 18 
_ _ 17 29 _ _ _ 25 _ _ 34 19 
_ _ 18 29 _ _ _ 25 _ _ 34 18 
_ _ 18 28 _ _ _ 24 _ _ 33 19 
_ _ 21 28 _ _ _ 22 _ _ 35 17 
_ _ 20 28 _ _ _ 25 _ _ 34 16 
_ _ 17 29 _ _ _ 24 _ _ 31 16 
_ _ 22 29 _ _ _ 25 _ _ 33 20 
_ _ 19 28 _ _ _ 26 _ _ 34 16 
_ _ 17 28 _ _ _ 27 _ _ 31 15 
